status,badgeCategory_name,Company_Name,Company_Type,Country_of_Residence,created_at,Industry,Is_this_your_first_time_attending_Ai_Everything,is_upgraded,isDropOff,Job_Title,Media_Type,Nationality,need_approval,operatingSystem,paid_amount_egp,paid_amount_usd,Payment Method,payment_card,payment_status,promoCode_id,promoCode_name,Publication_Name,Publication_Website,School_Name,source,Stage_Of_Funding,Student_ID,ticketType,Title,updated_at,Upload_here_your_Press_credentials_company_badge_ID_etc,urn,utm_campaign,utm_content,utm_medium,utm_source,utm_term,Visa_invitation_Letter,What_day_would_you_like_to_attend_the_training_on,What_Products_Services_Are_You_Looking_For,Who_Are_You_Funded_By,Would_you_like_to_attend_AWS_training_academy_session
Pending,Media,,,United Arab Emirates,"""2026-01-14T15:25:50.932Z""",,No,FALSE,FALSE,Tech Influencer,Influencer / Digital Creator,Egypt,TRUE,Mac OS X 10_15_7,0,0,,,FOC,,,Lawendy Tech,https://www.youtube.com/LawendyTech,,Online Page,,,Media,Mr,"""2026-01-14T15:25:50.932Z""",https://macber-registration.s3.eu-north-1.amazonaws.com/uploads/3dcd2e4d-9cda-4cc4-b239-82c078495161_20260114_152550.webp,8576332204,,,,,,No,,,,
Completed,All Access Pass,WFP,Non-Profit,Egypt,"""2026-01-14T15:09:33.450Z""",Artificial Intelligence,,FALSE,FALSE,Data Scientist,,Egypt,FALSE,Windows NT 10.0,2500,0,local,card,Paid,42418106-f265-4142-95ac-07f969d4669c,AIEEGY50,,,,Online Page,,,Delegate,,"""2026-01-14T15:11:44.000Z""",,8818580287,,,,,,No,,"Artificial Intelligence, Big Data & Analytics, Cloud Services, Quantum & High Performance Computing",,
Completed,All Access Pass,Wfp,Non-Profit,Egypt,"""2026-01-14T15:05:12.577Z""",Artificial Intelligence,,FALSE,FALSE,Tbc,,Egypt,FALSE,iPhone,2500,0,local,card,Paid,42418106-f265-4142-95ac-07f969d4669c,AIEEGY50,,,,Online Page,,,Delegate,,"""2026-01-14T15:06:53.000Z""",,8324991231,,,,,,No,,"Artificial Intelligence, Software Services",,
Completed,All Access Pass,WFP,Non-Profit,Egypt,"""2026-01-14T15:00:15.175Z""",Artificial Intelligence,,FALSE,FALSE,Lead Data Scientist,,Egypt,FALSE,Windows NT 10.0,2500,0,local,card,Paid,42418106-f265-4142-95ac-07f969d4669c,AIEEGY50,,,,Online Page,,,Delegate,,"""2026-01-14T15:02:36.000Z""",,3798570393,,,,,,No,,"Artificial Intelligence, Cloud Services, Coding and Development, Networking & Infrastructure, Quantum & High Performance Computing",,
Completed,All Access Pass,ArpuPlus,Corporate,Egypt,"""2026-01-14T14:56:20.795Z""",Entertainment,,FALSE,FALSE,VAS Subscription Senior Manager,,Egypt,FALSE,Windows NT 10.0,2500,0,local,card,Paid,42418106-f265-4142-95ac-07f969d4669c,AIEEGY50,,,,Online Page,,,Delegate,,"""2026-01-14T15:01:29.000Z""",,6293922814,,,,,,No,,"Gaming, HealthTech, Artificial Intelligence, Mobile Accessories & Peripherals",,
Completed,All Access Pass,SHOFHA,Corporate,Egypt,"""2026-01-14T14:53:42.248Z""",Media & Advertising,,FALSE,FALSE,Product Lead,,Egypt,FALSE,Windows NT 10.0,2500,0,local,card,Paid,42418106-f265-4142-95ac-07f969d4669c,AIEEGY50,,,,Online Page,,,Delegate,,"""2026-01-14T14:55:40.000Z""",,2945415942,,,,,,No,,"Media, Marketing & Advertising Tech, Artificial Intelligence, Networking & Infrastructure",,
Completed,All Access Pass,SHOFHA,Corporate,Egypt,"""2026-01-14T14:50:40.739Z""",Media & Advertising,,FALSE,FALSE,Chief Commercial Officer,,Egypt,FALSE,Windows NT 10.0,2500,0,local,card,Paid,42418106-f265-4142-95ac-07f969d4669c,AIEEGY50,,,,Online Page,,,Delegate,,"""2026-01-14T14:52:51.000Z""",,6905262432,,,,,,No,,"Ecommerce, Media, Artificial Intelligence, 5G & Telecommunications, Marketing & Advertising Tech",,
Completed,All Access Pass,WFP,Non-Profit,Italy,"""2026-01-14T14:48:51.712Z""",Digital Transformation,,FALSE,FALSE,REgional IT officer,,Egypt,FALSE,Windows NT 10.0,2500,0,local,card,Paid,42418106-f265-4142-95ac-07f969d4669c,AIEEGY50,,,,Online Page,,,Delegate,,"""2026-01-14T14:57:37.000Z""",,6163005525,,,,,,No,,"AgriTech & FoodTech, Regulatory Technology, Artificial Intelligence, Big Data & Analytics, Incubator/Accelerator/Investment",,
Completed,All Access Pass,ArpuPlus,Corporate,Egypt,"""2026-01-14T14:47:55.415Z""",Connectivity,,FALSE,FALSE,CFO and Deputy CEO,,Egypt,FALSE,Windows NT 10.0,2500,0,local,card,Paid,42418106-f265-4142-95ac-07f969d4669c,AIEEGY50,,,,Online Page,,,Delegate,,"""2026-01-14T14:50:22.000Z""",,5965200916,,,,,,No,,"Artificial Intelligence, 5G & Telecommunications, Digital Finance, Networking & Infrastructure",,
Completed,Visitor Pass,Hegazy and Partners for Strategic Consulting,Freezone,United Arab Emirates,"""2026-01-14T14:46:00.024Z""",Legal,,FALSE,FALSE,CEO,,Egypt,FALSE,Windows NT 10.0,210,0,local,card,Paid,c450e924-755d-4abb-8956-d55bf8ec4e70,prepopNCFY37,,,,Pre Pop,,,Visitor Pass,,"""2026-01-14T14:49:20.000Z""",,8206012798,20260107_aiemea26_vispromexhtech_Ar,,email,Eloqua,,No,,"Artificial Intelligence, Creative Economy, Ecommerce, Cybersecurity, Regulatory Technology",,
Completed,All Access Pass,ArpuPlus,Corporate,Egypt,"""2026-01-14T14:44:06.375Z""",Connectivity,,FALSE,FALSE,Chief Information Officer,,Egypt,FALSE,Windows NT 10.0,2500,0,local,card,Paid,42418106-f265-4142-95ac-07f969d4669c,AIEEGY50,,,,Online Page,,,Delegate,,"""2026-01-14T14:46:42.000Z""",,5436436415,,,,,,No,,"5G & Telecommunications, Big Data & Analytics, Cloud Services, Artificial Intelligence",,
